Website,Reinecke’s ,NewScore
38,2.6,
38,2.6,
38,2.6,
38,2.6,
38,2.6,
38,2.6,
39,4.5,
39,4.5,
39,4.5,
39,4.5,
39,4.5,
40,5,
40,5,
40,5,
40,5,
41,3.875,
41,3.875,
41,3.875,
41,3.875,
41,3.875,
42,3.857142857,
42,3.857142857,
42,3.857142857,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
43,4.789473684,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
44,4,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
45,5.846153846,
46,3.714285714,
46,3.714285714,
46,3.714285714,
46,3.714285714,
46,3.714285714,
48,2.7,
48,2.7,
48,2.7,
48,2.7,
48,2.7,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
49,4.2,
50,6.142857143,
50,6.142857143,
50,6.142857143,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
51,4.785714286,
52,4.333333333,
52,4.333333333,
54,3.071428571,
54,3.071428571,
54,3.071428571,
54,3.071428571,
54,3.071428571,
54,3.071428571,
54,3.071428571,
55,1.888888889,
55,1.888888889,
55,1.888888889,
55,1.888888889,
55,1.888888889,
55,1.888888889,
55,1.888888889,
55,1.888888889,
56,3.142857143,
56,3.142857143,
56,3.142857143,
56,3.142857143,
57,3.7,
57,3.7,
58,5.6,
58,5.6,
58,5.6,
58,5.6,
59,4,
59,4,
60,4.333333333,
60,4.333333333,
60,4.333333333,
60,4.333333333,
60,4.333333333,
60,4.333333333,
61,3.454545455,
61,3.454545455,
61,3.454545455,
62,2.9,
62,2.9,
63,3.6,
63,3.6,
63,3.6,
63,3.6,
63,3.6,
63,3.6,
64,4.5,
64,4.5,
65,4.25,
65,4.25,
65,4.25,
65,4.25,
66,3.25,
66,3.25,
66,3.25,
66,3.25,
66,3.25,
66,3.25,
66,3.25,
67,4.888888889,
67,4.888888889,
67,4.888888889,
67,4.888888889,
67,4.888888889,
67,4.888888889,
67,4.888888889,
67,4.888888889,
67,4.888888889,
69,3.6,
69,3.6,
69,3.6,
69,3.6,
69,3.6,
70,4.090909091,
70,4.090909091,
